author_name,rating,published_at,text,author_image_url
Nurul Intan viah,5.0,sebulan lalu,Pelayanannya cepat tempat luas dan makanannyaa enak enak bangetttt murah lagiiii rekomendasi dehhhhhh,https://lh3.googleusercontent.com/a/ACg8ocLtDX5wTdONGAiz-g4NGfjl0TT5NPM6ELPMi16NzOKNPfxctw=w36-h36-p-rp-mo-br100
seven knight Rebirth,5.0,sebulan lalu,Pelayannya ramah banget ini tempat makan yang rame tapi tetep mentingin estimasi jadiii suka bngt dan akan balik lagi gercep bngt mas masnyaaa ngelayanin,https://lh3.googleusercontent.com/a/ACg8ocJu3FYYcZPvxr2Lt6kM8pbqxjPnJCDGNpVeV86s0OlJkkNJJg=w36-h36-p-rp-mo-br100
Hoir Rya,5.0,5 bulan lalu,Pelayanan nya oke banget rasanya mantap selalu konsisten cocok untuk bareng2 sma kluarga yang bingung mau makan dimana,https://lh3.googleusercontent.com/a/ACg8ocJGu5PvfJPblKdFnVgQA2gezb-VpAXuQ-yryeBMqtwnj9giVw=w36-h36-p-rp-mo-br100
Viola Wulandari,5.0,4 bulan lalu,"tempatnya lebih luas dan nyaman ,,,bagus untuk berfotoo ,karyawan juga selalu siap melayanii , apalagi untuk customer dine in👍🏻👍🏻👍🏻🥰🥰 …",https://lh3.googleusercontent.com/a-/ALV-UjWbHjSMVVIwkqCIQ9f0K_ftl3BLXocfZDBoPxeZGM0CxWCren6j=w36-h36-p-rp-mo-br100
Nurdiana,4.0,sebulan lalu,"makan enak dan pelayanannya baik, datangnya cepat",https://lh3.googleusercontent.com/a/ACg8ocK2KNvt2ze2LKBKf_S5LdqcOUtYDWCAXT6yFNScpZGw6eB6Zw=w36-h36-p-rp-mo-br100
Riska Wulandari,4.0,sebulan lalu,"suka banget sama tempatnya, bersih, nyaman dan lebih luas dari sebelumnya, good job, semoga tambah rame dengan adanya perubahan baru",https://lh3.googleusercontent.com/a/ACg8ocKIetYL3ck_hDVxxTLUFgwhDcnS1uE6MaeGLbFoLH9qnweaTGA=w36-h36-p-rp-mo-br100
Nuris Zaqiatur Rohmah,3.0,2 bulan lalu,"Sekedar saran saja, alangkah baiknya jika penempatan sumpit tidak di bagian belakang tubuh dekat pantat. Meski sudah di bungkus dgn plastik sumpit, tp agak kurang enak di pandanh bagi beberapa customer. Krn itu alat makan bukan tisu/lap. Terimakasih",https://lh3.googleusercontent.com/a/ACg8ocJWGJBGv8KZ6aPwfep_gXizppVOoIpJti3M2aBC5hPJrhlhcQ=w36-h36-p-rp-mo-ba2-br100
Ahmad Rifaldi,5.0,sebulan lalu,Kak aku kasi bintang 1000000 deh untuk gacoan yang sekarang apalgi soal pelayanan kek ramah bngt gercep ngebantuin luas juga tempatnyaaaaa terus kakak kakaknya juga seru dan lucuuuuu,https://lh3.googleusercontent.com/a-/ALV-UjVSX_6AVkbwwJZTc8Emzwdla3ZODA9aMDcXcoTT4iypshRuKPGA=w36-h36-p-rp-mo-br100
Aiman Aiman,5.0,2 bulan lalu,"Suasana nyaman sekali, pelayanannya juga ramah apalagi mbak mbak bagian jaga didepan selalu tersenyum namanya mbak iklimatus, semangat terimakasih gacoan Jember",https://lh3.googleusercontent.com/a/ACg8ocJDQfoiUoG6cMSi1epOmGpNJPkYeqCtUT7lJGn4y-12QntQHw=w36-h36-p-rp-mo-br100
tw nyass,5.0,2 bulan lalu,Pelayanan cepat. Rasanya tetep enak. Size dimsumnya gede. Kebersihan terjaga,https://lh3.googleusercontent.com/a-/ALV-UjWV0eCFdxxkG0iL49XyVNDbTZt4YDLylQjZZB4gx4BELF5O2Ev5=w36-h36-p-rp-mo-ba4-br100
Trii Wahyuni,5.0,4 bulan lalu,"Peningkatan banget semuanya. Dari segi pelayanan, dari segi tempatnya. best pokoknya. Jadi lebih efisien. Cuma agak panas aja, diikiiitt 😁 …",https://lh3.googleusercontent.com/a-/ALV-UjU2tb187b-2OLoCW45BGZB_0UFZJHvW_prX76aSMEiNhe1lF2ah=w36-h36-p-rp-mo-br100
Sipaling ada,5.0,4 minggu lalu,sungkemmmmmm dulu sama gcoan jember se enak itu se nyaman itu se care itu pelayanan okee bngt ini si ter dabestttttt tempatnya makanannya pelayanannyaaaaaa gongg bagtt udahhhhh 😍😍😍😍😍😍😍😍❤️❤️✨️😍 …,https://lh3.googleusercontent.com/a/ACg8ocIXiEkfaeN3vbmsGTbeNDxELqO83OByVA5vdF20RN2P3ZLi5A=w36-h36-p-rp-mo-br100
Hairun Nisa,5.0,4 bulan lalu,"Pelayanan bagus,mie favorit ga pernah bosen kalo ke gacoan",https://lh3.googleusercontent.com/a/ACg8ocIM7-7LV-zYI6bgA8EUJ0kvmDmDahxdPQNsxQDv5UgFb8OJGg=w36-h36-p-rp-mo-br100
